Gm#,Date,Tm,homeAway,Opp,W/L,R,RA,Inn,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,"Monday, Apr 2",OAK,away,SEA,L,4,5,9,3,1,Rhodes,Mecir,Sasaki,03:23,N,"45,911",-,
2,"Tuesday, Apr 3",OAK,away,SEA,W,5,1,9,1,Tied,Zito,Halama,,02:57,N,"27,212",+,
3,"Wednesday, Apr 4",OAK,away,SEA,L,2,10,9,3,1,Sele,Heredia,,03:07,D,"31,382",-,
4,"Friday, Apr 6",OAK,home,ANA,L,4,5,9,4,2,Wise,Mulder,Percival,03:18,N,"42,826",--,
5,"Saturday, Apr 7",OAK,home,ANA,W,4,2,9,2,2,Hudson,Levine,Isringhausen,02:29,D,"21,398",+,
6,"Sunday, Apr 8",OAK,home,ANA,L,4,6,9,4,2,Schoeneweis,Zito,Percival,03:29,D,"26,211",-,
7,"Tuesday, Apr 10",OAK,home,SEA,L,1,5,9,4,3,Halama,Heredia,Sasaki,03:22,N,"14,880",--,
8,"Wednesday, Apr 11",OAK,home,SEA,L,0,3,9,4,4,Sele,Mecir,Sasaki,02:29,N,"16,652",---,
9,"Thursday, Apr 12",OAK,home,SEA,L,3,7,9,4,5,Moyer,Hudson,,02:57,D,"15,414",----,
10,"Friday, Apr 13",OAK,home,TEX,L,1,13,9,4,5,Davis,Lidle,,03:10,N,"19,255",-----,
11,"Saturday, Apr 14",OAK,home,TEX,L,8,9,9,4,6,Zimmerman,Mecir,Crabtree,03:16,D,"26,730",------,
12,"Sunday, Apr 15",OAK,home,TEX,L,8,10,9,4,7,Oliver,Heredia,Venafro,03:27,N,"18,853",-------,
13,"Monday, Apr 16",OAK,away,ANA,W,6,3,9,4,7,Mulder,Washburn,Isringhausen,02:56,N,"16,368",+,
14,"Tuesday, Apr 17",OAK,away,ANA,W,5,1,9,4,7,Hudson,Ortiz,,02:52,N,"17,837",++,
15,"Wednesday, Apr 18",OAK,away,ANA,L-wo,2,3,9,4,7,Percival,Mecir,,02:48,N,"17,962",-,
16,"Thursday, Apr 19",OAK,away,TEX,W,9,5,9,4,7,Zito,Rogers,Mathews,03:44,N,"33,311",+,
17,"Friday, Apr 20",OAK,away,TEX,L,6,9,9,4,8,Oliver,Heredia,,02:59,N,"39,041",-,
18,"Saturday, Apr 21",OAK,away,TEX,W,7,6,9,4,8,Mulder,Mahomes,Isringhausen,03:18,N,"45,174",+,
19,"Sunday, Apr 22",OAK,away,TEX,L,2,11,9,4,9,Helling,Hudson,,03:15,D,"32,527",-,
20,"Tuesday, Apr 24",OAK,away,CHW,W,6,4,9,4,9,Zito,Buehrle,Isringhausen,02:53,N,"12,441",+,
21,"Wednesday, Apr 25",OAK,away,CHW,L-wo,1,2,11,4,10,Foulke,Bradford,,03:48,N,"12,941",-,
22,"Thursday, Apr 26",OAK,away,CHW,W,16,6,9,4,10,Heredia,Parque,,03:22,N,"12,963",+,
23,"Friday, Apr 27",OAK,away,NYY,L,2,3,9,4,11,Choate,Mulder,Rivera,03:12,N,"35,170",-,
24,"Saturday, Apr 28",OAK,away,NYY,L,6,7,9,4,12,Lilly,Hudson,Rivera,03:06,D,"38,422",--,
25,"Sunday, Apr 29",OAK,away,NYY,L,1,3,9,4,12,Clemens,Zito,Rivera,02:58,D,"50,572",---,
26,"Tuesday, May 1",OAK,home,TOR,L,4,5,10,4,12,Quantrill,Isringhausen,Koch,03:19,N,"10,935",----,
27,"Wednesday, May 2",OAK,home,TOR,W,6,0,9,4,12,Mulder,Loaiza,,02:42,N,"14,048",+,
28,"Thursday, May 3",OAK,home,TOR,W-wo,3,2,15,4,12,Bradford,Borbon,,04:29,D,"10,586",++,
29,"Friday, May 4",OAK,home,BOS,W,7,3,9,4,11,Heredia,Lowe,Tam,03:19,N,"20,631",+++,
30,"Saturday, May 5",OAK,home,BOS,L,1,7,9,4,12,Crawford,Zito,,02:47,D,"29,248",-,
31,"Sunday, May 6",OAK,home,BOS,L,4,5,9,4,12,Martinez,Lidle,Beck,03:15,N,"40,186",--,
32,"Tuesday, May 8",OAK,away,TOR,W,8,5,9,3,11,Mulder,Loaiza,Mecir,02:43,N,"16,479",+,
33,"Wednesday, May 9",OAK,away,TOR,W,8,5,9,3,11,Hudson,Michalak,Isringhausen,03:32,N,"16,241",++,
34,"Thursday, May 10",OAK,away,TOR,W,14,8,9,3,11,Guthrie,Painter,,03:31,N,"16,130",+++,
35,"Friday, May 11",OAK,away,BOS,W,7,6,9,3,11,Isringhausen,Beck,Tam,03:36,N,"32,718",++++,
36,"Saturday, May 12",OAK,away,BOS,L,3,9,9,3,12,Martinez,Heredia,,02:51,D,"32,686",-,
37,"Sunday, May 13",OAK,away,BOS,L-wo,4,5,11,3,13,Lowe,Tam,,03:53,D,"31,926",--,
38,"Tuesday, May 15",OAK,home,NYY,W-wo,3,2,12,3,13,Guthrie,Mendoza,,04:28,N,"24,351",+,
