Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,"Monday, Apr 1",boxscore,OAK,,TEX,W,8,3,,1-0,1,up 1.0,Mulder,Park,,02:46,N,"43,908",+,
2,"Tuesday, Apr 2",boxscore,OAK,,TEX,W-wo,3,2,,2-0,1,up 1.0,Koch,Miceli,,03:15,N,"10,267",++,
3,"Wednesday, Apr 3",boxscore,OAK,,TEX,W,9,6,,3-0,1,up 1.0,Mecir,Rodriguez,Koch,03:59,N,"23,259",+++,
4,"Thursday, Apr 4",boxscore,OAK,,TEX,L,5,7,,01-Mar,1,up 0.5,Davis,Lidle,,03:11,D,"15,081",-,
5,"Friday, Apr 5",boxscore,OAK,@,SEA,L,1,7,,02-Mar,2,0.5,Baldwin,Hiljus,,02:27,N,"40,303",--,
6,"Saturday, Apr 6",boxscore,OAK,@,SEA,W,8,3,,02-Apr,1,up 0.5,Mulder,Garcia,,03:12,N,"45,093",+,
7,"Sunday, Apr 7",boxscore,OAK,@,SEA,W,6,5,,02-May,1,up 1.0,Hudson,Moyer,Koch,03:54,N,"39,870",++,
8,"Tuesday, Apr 9",boxscore,OAK,@,TEX,W,5,4,11,02-Jun,1,up 1.0,Koch,Seanez,,03:48,N,"20,158",+++,
9,"Wednesday, Apr 10",boxscore,OAK,@,TEX,L,2,4,,03-Jun,1,Tied,Burba,Lidle,Rocker,02:54,N,"21,384",-,
10,"Thursday, Apr 11",boxscore,OAK,@,TEX,L,0,7,,04-Jun,2,1,Davis,Mulder,,02:40,D,"21,903",--,
11,"Friday, Apr 12",boxscore,OAK,@,ANA,W,5,1,,04-Jul,2,1,Hudson,Ortiz,,03:08,N,"31,815",+,
12,"Saturday, Apr 13",boxscore,OAK,@,ANA,W,7,2,,04-Aug,2,1,Hiljus,Washburn,,02:50,N,"33,554",++,
13,"Sunday, Apr 14",boxscore,OAK,@,ANA,L,1,4,,05-Aug,2,2,Appier,Zito,Levine,02:52,D,"32,881",-,
14,"Tuesday, Apr 16",boxscore,OAK,,SEA,L,2,6,7,06-Aug,2,3.5,Pineiro,Lidle,,02:23,N,"13,022",--,
15,"Wednesday, Apr 17",boxscore,OAK,,SEA,L,4,7,,07-Aug,2,4.5,Moyer,Hudson,Sasaki,03:43,N,"31,260",---,
16,"Thursday, Apr 18",boxscore,OAK,,ANA,W,4,2,,07-Sep,2,4,Hiljus,Ortiz,Koch,02:36,D,"9,145",+,
17,"Friday, Apr 19",boxscore,OAK,,ANA,L,7,9,,08-Sep,2,4,Washburn,Fyhrie,Percival,03:31,N,"12,468",-,
18,"Saturday, Apr 20",boxscore,OAK,,ANA,W,8,7,,08-Oct,2,4,Bradford,Levine,Koch,03:39,D,"20,253",+,
19,"Sunday, Apr 21",boxscore,OAK,,ANA,W-wo,6,5,,08-Nov,2,4,Venafro,Percival,,03:20,N,"20,088",++,
20,"Tuesday, Apr 23",boxscore,OAK,,NYY,L,1,2,,09-Nov,2,5.5,Hernandez,Hudson,Rivera,02:33,N,"40,360",-,
21,"Wednesday, Apr 24",boxscore,OAK,,NYY,L,5,8,,10-Nov,2,5.5,Stanton,Magnante,Rivera,03:35,N,"54,513",--,
22,"Thursday, Apr 25",boxscore,OAK,,NYY,W,6,2,,10-Dec,2,5,Zito,Mussina,,02:55,D,"31,870",+,
23,"Friday, Apr 26",boxscore,OAK,,CHW,W,6,4,,13-Oct,2,4,Lidle,Parque,Koch,02:52,N,"10,129",++,
24,"Saturday, Apr 27",boxscore,OAK,,CHW,W,16,1,,14-Oct,2,4,Fyhrie,Buehrle,,02:42,D,"26,111",+++,
25,"Sunday, Apr 28",boxscore,OAK,,CHW,W,10,0,,15-Oct,2,3,Hudson,Ritchie,,02:37,D,"20,365",++++,
26,"Tuesday, Apr 30",boxscore,OAK,@,NYY,L,2,8,,15-Nov,2,3,Wells,Zito,,02:55,N,"32,888",-,
27,"Wednesday, May 1",boxscore,OAK,@,NYY,W,4,1,,16-Nov,2,2,Hiljus,Mussina,Koch,03:14,N,"31,006",+,
28,"Thursday, May 2",boxscore,OAK,@,NYY,L,2,9,,16-Dec,2,3,Clemens,Lidle,,02:58,N,"30,463",-,
29,"Friday, May 3",boxscore,OAK,@,CHW,L,1,6,,16-13,2,4,Buehrle,Fyhrie,,02:39,N,"15,746",--,
30,"Saturday, May 4",boxscore,OAK,@,CHW,L,2,10,,16-14,2,5,Ritchie,Hudson,,02:59,N,"27,511",---,
31,"Sunday, May 5",boxscore,OAK,@,CHW,W,3,2,,17-14,2,5,Zito,Wright,Koch,02:42,D,"27,275",+,
32,"Tuesday, May 7",boxscore,OAK,,BOS,L,7,9,,17-15,2,5,Arrojo,Mecir,Urbina,03:43,N,"19,715",-,
33,"Wednesday, May 8",boxscore,OAK,,BOS,L,6,12,,17-16,2,6,Burkett,Hiljus,,03:31,N,"40,155",--,
34,"Thursday, May 9",boxscore,OAK,,BOS,L,1,5,,17-17,3,7,Lowe,Hudson,,02:28,D,"18,477",---,
35,"Friday, May 10",boxscore,OAK,,TOR,L,2,6,,17-18,3,8,Prokopec,Mulder,,02:53,N,"10,824",----,
36,"Saturday, May 11",boxscore,OAK,,TOR,W,7,4,,18-18,3,8,Zito,Miller,,02:54,D,"21,115",+,
37,"Sunday, May 12",boxscore,OAK,,TOR,L,4,11,,18-19,3,8,Halladay,Lidle,Walker,03:07,D,"19,519",-,
38,"Tuesday, May 14",boxscore,OAK,@,BOS,L,2,6,,18-20,3,8,Burkett,Hudson,,02:49,N,"31,404",--,
39,"Wednesday, May 15",boxscore,OAK,@,BOS,L,2,8,,18-21,4,9,Lowe,Hiljus,,02:53,N,"32,346",---,
40,"Thursday, May 16",boxscore,OAK,@,BOS,W,5,0,,19-21,3,9,Zito,Castillo,,02:51,N,"33,057",+,
41,"Friday, May 17",boxscore,OAK,@,TOR,L,1,7,,19-22,3,10,Halladay,Mulder,,03:00,N,"14,061",-,
42,"Saturday, May 18",boxscore,OAK,@,TOR,L,3,6,,19-23,3,10,Miller,Fyhrie,Escobar,02:47,D,"17,846",--,
43,"Sunday, May 19",boxscore,OAK,@,TOR,L,0,11,,19-24,3,10,Loaiza,Hudson,,02:33,D,"23,408",---,
44,"Tuesday, May 21",boxscore,OAK,,BAL,L,4,6,14,19-25,3,10,Driskill,Venafro,Julio,04:36,N,"10,245",----,
45,"Wednesday, May 22",boxscore,OAK,,BAL,W,7,6,,20-25,3,9,Fyhrie,Maduro,Koch,03:06,D,"20,444",+,
46,"Thursday, May 23",boxscore,OAK,,BAL,L,3,11,,20-26,4,10,Ponson,Mulder,,02:49,D,"11,737",-,
47,"Friday, May 24",boxscore,OAK,,TBD,W,9,8,,21-26,3,10,Mecir,Zambrano,Koch,03:01,N,"25,458",+,
48,"Saturday, May 25",boxscore,OAK,,TBD,W,6,0,,22-26,3,9,Harang,Harper,Bradford,02:29,D,"31,697",++,
49,"Sunday, May 26",boxscore,OAK,,TBD,W,7,0,,23-26,3,9,Zito,Kennedy,,02:22,D,"15,943",+++,
50,"Tuesday, May 28",boxscore,OAK,@,BAL,W,5,2,,24-26,3,8,Mulder,Maduro,Koch,03:11,N,"24,825",++++,
51,"Wednesday, May 29",boxscore,OAK,@,BAL,L,5,10,,24-27,3,9,Bauer,Fyhrie,,03:02,N,"24,913",-,
52,"Thursday, May 30",boxscore,OAK,@,TBD,L-wo,3,4,13,24-28,3,10,Harper,Bradford,,03:53,N,"10,130",--,
53,"Friday, May 31",boxscore,OAK,@,TBD,W,13,9,,25-28,3,9,Venafro,Yan,,04:15,N,"10,227",+,
54,"Saturday, Jun 1",boxscore,OAK,@,TBD,W,8,3,,26-28,3,8,Zito,Kennedy,,02:43,N,"14,073",++,
55,"Sunday, Jun 2",boxscore,OAK,@,TBD,W,4,2,,27-28,3,8,Mulder,Rupe,Koch,03:09,D,"10,563",+++,
56,"Monday, Jun 3",boxscore,OAK,,SEA,L,1,4,,27-29,3,9,Garcia,Harang,Sasaki,02:56,N,"14,188",-,
57,"Tuesday, Jun 4",boxscore,OAK,,SEA,W-wo,3,2,10,28-29,3,8,Koch,Hasegawa,,03:15,N,"13,528",+,
58,"Wednesday, Jun 5",boxscore,OAK,,SEA,L,0,5,,28-30,3,9,Moyer,Lidle,,02:40,N,"35,647",-,
59,"Thursday, Jun 6",boxscore,OAK,,SEA,W,10,4,,29-30,3,8,Zito,Baldwin,,03:21,D,"27,344",+,
60,"Friday, Jun 7",boxscore,OAK,,HOU,W,5,3,,30-30,3,7,Mulder,Oswalt,Koch,02:56,N,"17,453",++,
61,"Saturday, Jun 8",boxscore,OAK,,HOU,W,5,1,,31-30,3,7,Harang,Reynolds,,02:58,D,"27,115",+++,
62,"Sunday, Jun 9",boxscore,OAK,,HOU,W,7,6,,32-30,3,6,Koch,Dotel,,03:27,D,"35,065",++++,
63,"Monday, Jun 10",boxscore,OAK,,MIL,W,8,6,,33-30,3,6,Bradford,De Los Santos,Koch,03:15,N,"10,584",+++++,
64,"Tuesday, Jun 11",boxscore,OAK,,MIL,W,11,2,,34-30,3,5,Zito,Figueroa,,02:41,N,"11,223",++++++,
65,"Wednesday, Jun 12",boxscore,OAK,,MIL,W,8,0,,35-30,3,5,Mulder,Sheets,,02:21,D,"20,847",+++++++,
66,"Friday, Jun 14",boxscore,OAK,@,SFG,W,3,2,,36-30,3,5,Hudson,Schmidt,Koch,02:45,N,"41,457",++++++++,
67,"Saturday, Jun 15",boxscore,OAK,@,SFG,L,2,6,,36-31,3,5,Zerbe,Harang,,03:15,D,"41,298",-,
68,"Sunday, Jun 16",boxscore,OAK,@,SFG,W,2,1,,37-31,3,4,Zito,Rueter,Koch,02:51,D,"41,550",+,
69,"Tuesday, Jun 18",boxscore,OAK,@,PIT,W,4,2,,38-31,3,4,Mulder,Fogg,Koch,02:33,N,"21,943",++,
70,"Wednesday, Jun 19",boxscore,OAK,@,PIT,W,3,2,10,39-31,3,4,Bradford,Williams,Koch,03:16,N,"30,562",+++,
71,"Thursday, Jun 20",boxscore,OAK,@,PIT,W,5,3,,40-31,3,4,Hudson,Benson,Koch,02:42,N,"22,464",++++,
72,"Friday, Jun 21",boxscore,OAK,@,CIN,W,5,3,,41-31,3,4,Harang,Williamson,Koch,02:46,N,"26,101",+++++,
73,"Saturday, Jun 22",boxscore,OAK,@,CIN,W,10,3,,42-31,3,3,Zito,Chen,,02:42,N,"27,243",++++++,
74,"Sunday, Jun 23",boxscore,OAK,@,CIN,W,5,1,,43-31,3,3,Mulder,Reitsma,,02:47,D,"23,961",+++++++,
75,"Monday, Jun 24",boxscore,OAK,@,SEA,W,13,2,,44-31,2,2,Lidle,Garcia,,02:54,N,"45,602",++++++++,
76,"Tuesday, Jun 25",boxscore,OAK,@,SEA,L,1,7,,44-32,2,3,Baldwin,Hudson,,02:34,N,"43,985",-,
